sample_name,genome,genome_masked,protein_fasta,fastq_r1,fastq_r2,busco_lineage
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358356_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358356_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358357_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358357_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358358_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358358_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358359_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358359_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358360_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358360_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358361_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358361_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358362_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358362_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358363_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358363_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358364_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/DRR358364_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026720_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026720_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026721_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026721_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026722_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026722_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026723_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026723_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026724_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026724_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026725_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026725_2.fastq.gz,arthropoda_odb12
china,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/cricket/chinachromosome/data/genome.fa.masked,/home/febrinam-pg/tools/orthodb/Arthropoda.fa,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026726_1.fastq.gz,/home/febrinam-pg/cricket/rnaseq/fastq/SRR14026726_2.fastq.gz,arthropoda_odb12
